id,True,Pred
Alle Dercks,Alle Dercks,Jacob Westerbaen
Justus de Harduwijn,Justus de Harduwijn,"Petrus Suetmans, Eustachius de Meyer"
Hieronymus van Alphen,Hieronymus van Alphen,Carolus Tuinman
C. Rhijnenburgh,C. Rhijnenburgh,Joannes Six van Chandelier
Jacob Steendam,Jacob Steendam,Jacob Coenraetsz Mayvogel
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Jan Pieter Heije
Jan van der Veen,Jan van der Veen,Jan Pieter Heije
Philippus Jennyn,Philippus Jennyn,Pieter Lenaerts van der Goes
Hendrik Rintjes,Hendrik Rintjes,Pieter Datheen
Joan Ysermans,Joan Ysermans,Pieter van Gelre
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer","Antoine Mahaut, Kornelis Elzevier"
Anthony Jansen,Anthony Jansen,Claes Stapel
Marijn de Brauwer,Marijn de Brauwer,Willem de Swaen
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
Lucas van Mechelen,Lucas van Mechelen,Joannes Mys
Willem Sluiter,Willem Sluiter,Johan van Born
C. J. Wits,C. J. Wits,Karel van Mander
"R.J. de Nerée, P.C. Hooft, C.G. Plemp","R.J. de Nerée, P.C. Hooft, C.G. Plemp",Matthijs de Castelein
Cornelis Stribeé,Cornelis Stribeé,Joannes Stalpaert van der Wiele
Franciscus de Laat,Franciscus de Laat,Willem Schellinger
François Halma,François Halma,Claes Stapel
Dirck Pietersz Pers,Dirck Pietersz Pers,Willem de Swaen
Willem de Swaen,Willem de Swaen,Jacob Rosant
Thomas Fonteyn,Thomas Fonteyn,Andries Pels
F. Pitton,F. Pitton,Gerrit Manheer
J.F. Willems,J.F. Willems,Florimond van Duyse
Godfried Bussé,Godfried Bussé,Joannes van Sambeeck
Arnold Bon,Arnold Bon,Jodocus van Lodenstein
Gerrit Manheer,Gerrit Manheer,"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa"
Pieter Cauwe,Pieter Cauwe,Dirk Rafaelsz. Camphuysen
Haerlem Soetendal,Haerlem Soetendal,Karel van Mander
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Cornelis de Leeuw
Arnold Bon,Arnold Bon,Jan van der Veen
Hendrik van Boxtel,Hendrik van Boxtel,Lucas van Mechelen
Jan Pieter Heije,Jan Pieter Heije,"A.J. Dekker, Marie van Dijk"
Jan Zoet,Jan Zoet,Albertus Buitendyck
Willem Schellinger,Willem Schellinger,Hendrik Jacobz. Soetenboom
Johannes Wilhelmus Bussingh,Johannes Wilhelmus Bussingh,Jan Pieter Heije
Pieter Elsevier,Pieter Elsevier,anoniem
Dirck Pietersz Pers,Dirck Pietersz Pers,Albertus Buitendyck
Rutger Schutte,Rutger Schutte,Jan Luyken
Cornelis Maertsz.,Cornelis Maertsz.,Petrus Verburg
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",Florimond van Duyse
"R.J. de Nerée, P.C. Hooft, C.G. Plemp","R.J. de Nerée, P.C. Hooft, C.G. Plemp",Samuel Coster
Matthijs de Castelein,Matthijs de Castelein,Nicolaes Janssens
Hendrik Riemsnijder,Hendrik Riemsnijder,Jacob Coenraetsz Mayvogel
Johannes Wilhelmus Bussingh,Johannes Wilhelmus Bussingh,Philippus Jennyn
Samuel Ampzing,Samuel Ampzing,Cornelis Stribeé
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
Thomas Fonteyn,Thomas Fonteyn,Gerrit Manheer
Anthony Jansen,Anthony Jansen,J. Tradel
Franciscus Ridderus,Franciscus Ridderus,"Antoine Mahaut, Kornelis Elzevier"
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Albertus Buitendyck
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,Jan Pieter Heije
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz",Guilielmus Bolognino
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Hans de Ries
Leenaert Clock,Leenaert Clock,Jacobus Revius
Johannes Hazeu Cornelisz. en Dirk van der Reijden,Johannes Hazeu Cornelisz. en Dirk van der Reijden,Reynier Rooleeuw
Abdias Velingius,Abdias Velingius,Hieronymus van Alphen
Willem Sluiter,Willem Sluiter,Barent Pietersz. Kompas
Daniel Bellemans,Daniel Bellemans,Livinus van der Minnen
J.Z. Baron,J.Z. Baron,Leonardus Gouwerak
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer","Antoine Mahaut, Kornelis Elzevier"
Daniel Bellemans,Daniel Bellemans,G.A. Bredero
Jan Pieter Heije,Jan Pieter Heije,Claes Stapel
J. Sent,J. Sent,Alle Dercks
Jan Jansz. Deutel,Jan Jansz. Deutel,Hendrik Rintjes
Frans vander Straten de jongere,Frans vander Straten de jongere,Jan Jansz. Deutel
Thomas Fonteyn,Thomas Fonteyn,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
"J. Veldkamp en K. de Boer, J. Veldkamp, K. de Boer","J. Veldkamp en K. de Boer, J. Veldkamp, K. de Boer",Jan Pieter Heije
Dirck Pietersz Pers,Dirck Pietersz Pers,Jacobus de Ruyter
Jan Mommaert,Jan Mommaert,"Petrus Suetmans, Eustachius de Meyer"
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Anthony Jansen
C. Rhijnenburgh,C. Rhijnenburgh,Jacobus de Ruyter
Johanna de Gavre,Johanna de Gavre,Aegidius Haeffacker
Lucas de Heere,Lucas de Heere,Mattheus Gargon
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Wolterus ter Burgh
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Florimond van Duyse
Jan Pieter Heije,Jan Pieter Heije,Florimond van Duyse
Livinus van der Minnen,Livinus van der Minnen,François Halma
Claes Stapel,Claes Stapel,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Aernout van Overbeke,Aernout van Overbeke,Dirk Rafaelsz. Camphuysen
Christianus de Placker,Christianus de Placker,Jacob Steendam
Katharina Wilhelmina Bilderdijk-Schweickhardt,Katharina Wilhelmina Bilderdijk-Schweickhardt,Jan Pieter Heije
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Guilielmus Bolognino
François Foret,François Foret,Tannetge Kornelis Blok
Aernout van Overbeke,Aernout van Overbeke,Femme Gerbrantsz Drieduym
Jacob Carel Willem le Jeune,Jacob Carel Willem le Jeune,Jan Pieter Heije
Jan Jansz. Deutel,Jan Jansz. Deutel,Franciscus Ridderus
Jacobus de Ruyter,Jacobus de Ruyter,Karel van Mander
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Justus de Harduwijn
Gerrit Manheer,Gerrit Manheer,Jan Pieter Heije
C. Rhijnenburgh,C. Rhijnenburgh,Pieter Lenaerts van der Goes
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",C. Rhijnenburgh
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Karel van Mander
Jacob Rosant,Jacob Rosant,Johannes Stichter
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,M. van de Speybroek
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
Barent Pietersz. Kompas,Barent Pietersz. Kompas,Jacob Coenraetsz Mayvogel
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Florimond van Duyse
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Jan Pieter Heije
Philippus van Sorgen,Philippus van Sorgen,Willem de Swaen
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Jan Pieter Heije
Mattheus Gargon,Mattheus Gargon,Abdias Velingius
Florimond van Duyse,Florimond van Duyse,"Karel van Mander, samensteller Karel van Mander"
Wolterus ter Burgh,Wolterus ter Burgh,Joannes Six van Chandelier
J.F. Willems,J.F. Willems,Florimond van Duyse
Cornelis de Leeuw,Cornelis de Leeuw,Jan van der Veen
Gerrit Manheer,Gerrit Manheer,Jan Pieter Heije
Joannes Six van Chandelier,Joannes Six van Chandelier,"Alle Dercks, samensteller Alle Dercks"
Anthony Jansen,Anthony Jansen,Cornelis de Leeuw
Alle Dercks,Alle Dercks,Franciscus Ridderus
Jan Pieter Heije,Jan Pieter Heije,Carolus Tuinman
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa","Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Carolus Tuinman
Barent Pietersz. Kompas,Barent Pietersz. Kompas,Dirck Pietersz Pers
Bernardus Busschoff,Bernardus Busschoff,Willem Sluiter
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Jacob Rosant
Pieter van Gelre,Pieter van Gelre,Guilelmus van der Borcht
Hendrik Rintjes,Hendrik Rintjes,Justus de Harduwijn
Anthony Jansen,Anthony Jansen,Claes Stapel
Joost van den Vondel en Johan van Heemskerck (etc.),Joost van den Vondel en Johan van Heemskerck (etc.),Herman Harts
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Arnold Bon
Johan van Born,Johan van Born,Dirck Pietersz Pers
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,C.P. van Wesbusch
Carolus Tuinman,Carolus Tuinman,Herman Ockes
Claes Stapel,Claes Stapel,Jodocus van Lodenstein
Florimond van Duyse,Florimond van Duyse,Dirck Pietersz Pers
Js. M. Pfeil,Js. M. Pfeil,Joan Blasius
Johan Fruytiers,Johan Fruytiers,Gaudentius van Loemel
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Albertus Buitendyck
Jan van der Veen,Jan van der Veen,Anthony Jansen
Livinus van der Minnen,Livinus van der Minnen,Jacob Rosant
Thomas Fonteyn,Thomas Fonteyn,Johannes Stichter
Johannes Stichter,Johannes Stichter,Pieter de Vos
Haerlem Soetendal,Haerlem Soetendal,Jan Jansz. Deutel
Jan Jacob Mauricius,Jan Jacob Mauricius,M. van de Speybroek
Christianus Vermeulen,Christianus Vermeulen,Franciscus Ridderus
Philippus van Sorgen,Philippus van Sorgen,Joannes Six van Chandelier
Johanna de Gavre,Johanna de Gavre,Hendrik Rintjes
Justus de Harduwijn,Justus de Harduwijn,Guilielmus Bolognino
Joris Wybo,Joris Wybo,Karel van Mander
Cornelis Maertsz.,Cornelis Maertsz.,Guilielmus Bolognino
Philips van Marnix,Philips van Marnix,Jan Utenhove
Jan Pieter Heije,Jan Pieter Heije,Carolus Tuinman
Jan Pieter Heije,Jan Pieter Heije,Daniël Heinsius
Joos Verschuere Reynvaan,Joos Verschuere Reynvaan,Carolus Tuinman
Anthony Jansen,Anthony Jansen,Jan Pieter Heije
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Jan Pieter Heije
C. J. Wits,C. J. Wits,Dirk Rafaelsz. Camphuysen
Frans de Cort,Frans de Cort,Isaak A. van Vaerlen en Jan Jansz. van Asten
Joan Ysermans,Joan Ysermans,Karel van Mander
Wolterus ter Burgh,Wolterus ter Burgh,Hendrik Uilenbroek
Philippus van Sorgen,Philippus van Sorgen,Dirck Pietersz Pers
J.Z. Baron,J.Z. Baron,"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn"
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Gaudentius van Loemel
Cornelis Maertsz.,Cornelis Maertsz.,Guilielmus Bolognino
Philippus van Sorgen,Philippus van Sorgen,Anthony Jansen
Jan Jansz. Deutel,Jan Jansz. Deutel,Karel van Mander
Albertus Ignatius d'Hanins,Albertus Ignatius d'Hanins,Joannes van Sambeeck
Jan Mommaert,Jan Mommaert,Hendrik Jacobz. Soetenboom
Johan Deknatel,Johan Deknatel,Js. M. Pfeil
Claes Stapel,Claes Stapel,Pieter de Vos
Hieronymus van Alphen,Hieronymus van Alphen,Jan Pieter Heije
Jan Jansz. Deutel,Jan Jansz. Deutel,Karel van Mander
Jan Pieter Heije,Jan Pieter Heije,Jacob Coenraetsz Mayvogel
Hendrik van Tichelen,Hendrik van Tichelen,Jan Pieter Heije
Gerrit Hendricksz. van Breughel,Gerrit Hendricksz. van Breughel,Karel van Mander
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa","Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Frans de Cort
Matthijs de Castelein,Matthijs de Castelein,Frans vander Straten de jongere
Hieronymus van Alphen,Hieronymus van Alphen,Claes Stapel
Leenaert Clock,Leenaert Clock,Hendrik Rintjes
Cornelis Sweerts,Cornelis Sweerts,Hermanus van den Burg
Pieter Nootmans,Pieter Nootmans,Cornelis Stribeé
Johan van Born,Johan van Born,Dirk Rafaelsz. Camphuysen
Pieter Brughman,Pieter Brughman,Joannes Vollenhove
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,Thomas Fonteyn
Jan Jansz. Deutel,Jan Jansz. Deutel,Hendrik Rintjes
Michiel Vlack,Michiel Vlack,Anthony Jansen
Willem van Geldof,Willem van Geldof,Jan Pieter Heije
J.F. Willems,J.F. Willems,Florimond van Duyse
Johan van Born,Johan van Born,Dirk Rafaelsz. Camphuysen
Roelant de Kater,Roelant de Kater,Guilielmus Bolognino
Johan Deknatel,Johan Deknatel,Carolus Tuinman
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",Carolus Tuinman
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Dirck Pietersz Pers
Carolus Tuinman,Carolus Tuinman,Jan Pieter Heije
Pieter Cauwe,Pieter Cauwe,Govert van Mater
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Lambert de Visscher
Jacob Rosant,Jacob Rosant,Johannes Stichter
Anthony Jansen,Anthony Jansen,Jan van Hoogstraten
Joannes Mys,Joannes Mys,Johan Fruytiers
Justus de Harduwijn,Justus de Harduwijn,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Livinus van der Minnen
Jan Jansz. Deutel,Jan Jansz. Deutel,Leenaert Clock
Claes Stapel,Claes Stapel,Cornelis de Leeuw
Franciscus Ridderus,Franciscus Ridderus,Jacob Westerbaen
Hendrik van Tichelen,Hendrik van Tichelen,Jan Pieter Heije
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Justus de Harduwijn
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Dirck Pietersz Pers
Arnold Bon,Arnold Bon,Joan Blasius
Jacob Claesz,Jacob Claesz,Florimond van Duyse
Thomas Fonteyn,Thomas Fonteyn,Boudewijn Jansen Wellens
J.W. Lustig,J.W. Lustig,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Karel van Mander,Karel van Mander,E. Pels de Jonge
anoniem,anoniem,Michiel Vlack
François Foret,François Foret,Joannes van Sambeeck
A. de R. en J.G.,A. de R. en J.G.,Joannes Vollenhove
Albertus Buitendyck,Albertus Buitendyck,Matthijs van der Merwede
Franciscus Ridderus,Franciscus Ridderus,Boudewijn Jansen Wellens
Jan Jansz. Starter,Jan Jansz. Starter,Christianus Vermeulen
Herman Harts,Herman Harts,Herman Ockes
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Matthijs van der Merwede
Daniël Willink,Daniël Willink,Abdias Velingius
Christianus Vermeulen,Christianus Vermeulen,J. Smeerbol
J.F. Willems,J.F. Willems,Franciscus Ridderus
Pieter Elsevier,Pieter Elsevier,Arnold Bon
Pieter Datheen,Pieter Datheen,Hendrik Rintjes
Arnold Bon,Arnold Bon,G.A. Bredero
Florimond van Duyse,Florimond van Duyse,Herman Harts
Jan Jansz. Deutel,Jan Jansz. Deutel,Hendrik Jacobz. Soetenboom
G.A. Bredero,G.A. Bredero,Reynier Rooleeuw
Jan Jansz. Deutel,Jan Jansz. Deutel,Daniel Bellemans
Hermanus van den Burg,Hermanus van den Burg,Frank A. Metaal
Jan Utenhove,Jan Utenhove,Dirck Pietersz Pers
Jan van Gijsen,Jan van Gijsen,Hieronymus van Alphen
D. Porcelijn,D. Porcelijn,Jakobus Rosseau
Wolterus ter Burgh,Wolterus ter Burgh,François Halma
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Christianus Vermeulen
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,E. Pels de Jonge
Joannes Six van Chandelier,Joannes Six van Chandelier,Willem de Swaen
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Hieronymus van Alphen
Christianus Vermeulen,Christianus Vermeulen,Jan Thieullier
Willem Sluiter,Willem Sluiter,Jacob Claesz
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Hendrik Uilenbroek
Franciscus de Laat,Franciscus de Laat,Jacob Westerbaen
Hieronymus van Alphen,Hieronymus van Alphen,Abdias Velingius
Philippus van Sorgen,Philippus van Sorgen,Jodocus van Lodenstein
Gaudentius van Loemel,Gaudentius van Loemel,Jacobus de Ruyter
Pieter Lenaerts van der Goes,Pieter Lenaerts van der Goes,G.A. Bredero
H. van Vijfderley,H. van Vijfderley,Jacobus de Ruyter
Augustinus van Teylingen,Augustinus van Teylingen,Karel van Mander
Pieter de Vos,Pieter de Vos,Joseph Sadones
J. Smeerbol,J. Smeerbol,Jacob Carel Willem le Jeune
Michiel Vlack,Michiel Vlack,Joris Wybo
Aernout van Overbeke,Aernout van Overbeke,Willem de Swaen
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,Adriaan Loosjes Pzn.
Anthony Jansen,Anthony Jansen,Claes Stapel
D.V. Coornhert,D.V. Coornhert,Jan Utenhove
Cornelis Maertsz.,Cornelis Maertsz.,Joannes Stalpaert van der Wiele
Jan Jansz. Deutel,Jan Jansz. Deutel,Soetken Gerijts
Guilelmus van der Borcht,Guilelmus van der Borcht,Jacob Rosant
Hermanus van den Burg,Hermanus van den Burg,J.W. Lustig
Joris Wybo,Joris Wybo,Karel van Mander
Karel van Mander,Karel van Mander,Soetken Gerijts
Joost van den Vondel en Johan van Heemskerck (etc.),Joost van den Vondel en Johan van Heemskerck (etc.),Jacob Cats
Jacobus de Ruyter,Jacobus de Ruyter,Godfried Bussé
Willem Sluiter,Willem Sluiter,Willem de Swaen
Karel van Mander,Karel van Mander,Joris Wybo
Hans de Ries,Hans de Ries,Henricus Costerius
Christianus Vermeulen,Christianus Vermeulen,"Petrus Suetmans, Eustachius de Meyer"
Jan Mommaert,Jan Mommaert,"Petrus Suetmans, Eustachius de Meyer"
Aegidius Haeffacker,Aegidius Haeffacker,Arnold Bon
Johannes Stichter,Johannes Stichter,Jacob Westerbaen
Carolus Tuinman,Carolus Tuinman,Joan Blasius
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,Willem de Swaen
Herman Harts,Herman Harts,Karel van Mander
Js. M. Pfeil,Js. M. Pfeil,Carolus Tuinman
C. Rhijnenburgh,C. Rhijnenburgh,"Petrus Suetmans, Eustachius de Meyer"
Samuel Ampzing,Samuel Ampzing,Gaudentius van Loemel
Dirck Pietersz Pers,Dirck Pietersz Pers,Albertus Buitendyck
Christianus de Placker,Christianus de Placker,Dirck Pietersz Pers
Pieter Dubbels,Pieter Dubbels,Thomas Fonteyn
Jan Zoet,Jan Zoet,Femme Gerbrantsz Drieduym
Jan Mommaert,Jan Mommaert,Pieter de Vos
Gaudentius van Loemel,Gaudentius van Loemel,Jacobus de Ruyter
Leenaert Clock,Leenaert Clock,J. Sent
M. van de Speybroek,M. van de Speybroek,Joannes van Sambeeck
Christianus Vermeulen,Christianus Vermeulen,Thomas Fonteyn
Carolus Tuinman,Carolus Tuinman,Cornelis de Leeuw
Hendrik Rintjes,Hendrik Rintjes,Daniel Bellemans
Joan Ysermans,Joan Ysermans,Frans vander Straten de jongere
Jan van Gijsen,Jan van Gijsen,Carolus Tuinman
Claes Stapel,Claes Stapel,Anthony Jansen
Joannes Mys,Joannes Mys,Peeter de Vleeschoudere
Daniel Bellemans,Daniel Bellemans,Livinus van der Minnen
Willem Sluiter,Willem Sluiter,Jacobus Revius
Arnold Bon,Arnold Bon,Jacob Janszoon Colevelt
J.F. Willems,J.F. Willems,Jan Pieter Heije
Volkerus van Oosterwyck,Volkerus van Oosterwyck,Cornelis Maertsz.
Jacob Steendam,Jacob Steendam,Johan Deknatel
Jacob Carel Willem le Jeune,Jacob Carel Willem le Jeune,Florimond van Duyse
"xFrançois Halma, François Halma","xFrançois Halma, François Halma",Aagje Deken en Klaas van der Horst
Guilelmus van der Borcht,Guilelmus van der Borcht,Jacobus de Ruyter
Johannes Hazeu Cornelisz. en Dirk van der Reijden,Johannes Hazeu Cornelisz. en Dirk van der Reijden,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
J.Z. Baron,J.Z. Baron,Florimond van Duyse
Pieter Nootmans,Pieter Nootmans,Hendrik Jacobz. Soetenboom
Jan Thieullier,Jan Thieullier,Willem de Swaen
Hendrik Uilenbroek,Hendrik Uilenbroek,Claes Stapel
Jan Jansz. Deutel,Jan Jansz. Deutel,Albertus Buitendyck
Cornelis Maertsz.,Cornelis Maertsz.,Hendrik Rintjes
Frans de Cort,Frans de Cort,Jacob Steendam
Cornelis Sweerts,Cornelis Sweerts,Frans de Cort
Jacobus Revius,Jacobus Revius,Jan Pieter Heije
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Jan van Hoogstraten
Daniël Willink,Daniël Willink,Jan Pieter Heije
"Adriaan Loosjes, Jan van Walré","Adriaan Loosjes, Jan van Walré",Jan Pieter Heije
Hendrik Rintjes,Hendrik Rintjes,Guilielmus Bolognino
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
Pieter Elsevier,Pieter Elsevier,Daniel Joncktys
Hendrik Uilenbroek,Hendrik Uilenbroek,Livinus van der Minnen
Leenaert Clock,Leenaert Clock,Guilielmus Bolognino
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",Carolus Tuinman
Jan Luyken,Jan Luyken,Jan Pieter Heije
Hendrik Rintjes,Hendrik Rintjes,Livinus van der Minnen
Jacob Claesz,Jacob Claesz,J.F. Willems
Lambert de Visscher,Lambert de Visscher,Jacob Rosant
Christianus de Placker,Christianus de Placker,Albertus Buitendyck
Johannes d' Outrein,Johannes d' Outrein,David Montanus
Wouter Robbertz,Wouter Robbertz,Johan Deknatel
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Dirk Rafaelsz. Camphuysen
Hieronymus Sweerts,Hieronymus Sweerts,Carolus Tuinman
G.A. Bredero,G.A. Bredero,Cornelis Maertsz.
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Hendrick Jansz. Prins
Christianus de Placker,Christianus de Placker,Joannes Mys
Alle Dercks,Alle Dercks,Florimond van Duyse
Pieter de Vos,Pieter de Vos,Johannes Stichter
Johan Beets,Johan Beets,Johannes Stichter
Jacob Claesz,Jacob Claesz,Franciscus de Laat
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Christianus Vermeulen
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
"R.J. de Nerée, P.C. Hooft, C.G. Plemp","R.J. de Nerée, P.C. Hooft, C.G. Plemp",G.A. Bredero
Nicolaes Janssens,Nicolaes Janssens,Lucas van Mechelen
Livinus van der Minnen,Livinus van der Minnen,Daniel Bellemans
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,G.A. Bredero
Aegidius Haeffacker,Aegidius Haeffacker,Jan Jansz. Deutel
Philips van Marnix,Philips van Marnix,Karel van Mander
Arnold Bon,Arnold Bon,François Halma
Jacob Carel Willem le Jeune,Jacob Carel Willem le Jeune,Claes Stapel
Arnold Bon,Arnold Bon,Jacob Groenewegen
Cornelis Sweerts,Cornelis Sweerts,Dirck Pietersz Pers
Hieronymus van Alphen,Hieronymus van Alphen,Gerrit Manheer
Dirck Pietersz Pers,Dirck Pietersz Pers,Johan Deknatel
Frans de Cort,Frans de Cort,Gerrit Manheer
M.A. Brandts-Buys,M.A. Brandts-Buys,Jan Pieter Heije
Pieter de Vos,Pieter de Vos,Franciscus Ridderus
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Jan Pieter Heije
Samuel Ampzing,Samuel Ampzing,Jacob Rosant
J. Smeerbol,J. Smeerbol,Pieter de Vos
Tannetge Kornelis Blok,Tannetge Kornelis Blok,Jacob Rosant
Jan Mommaert,Jan Mommaert,M.A. Brandts-Buys
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Franciscus Ridderus
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Jan Luyken
Justus de Harduwijn,Justus de Harduwijn,Johan Fruytiers
anoniem,anoniem,Aernout van Overbeke
Lucas van Mechelen,Lucas van Mechelen,Joan Blasius
Pieter Lenaerts van der Goes,Pieter Lenaerts van der Goes,Joan Ysermans
Christianus de Placker,Christianus de Placker,Florimond van Duyse
Jan Mommaert,Jan Mommaert,G.A. Bredero
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz",C.P. van Wesbusch
Hendrik Uilenbroek,Hendrik Uilenbroek,Claes Stapel
Livinus van der Minnen,Livinus van der Minnen,Willem de Swaen
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Cornelis Maertsz.
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Frank A. Metaal
Jan Mommaert,Jan Mommaert,Livinus van der Minnen
Pieter de Vos,Pieter de Vos,Jacob Coenraetsz Mayvogel
Willem Sluiter,Willem Sluiter,Hendrik Uilenbroek
J. Sent,J. Sent,Joos Verschuere Reynvaan
G.A. Bredero,G.A. Bredero,Matthijs de Castelein
Pieter van Gelre,Pieter van Gelre,Jan Thieullier
C.P.E. Robidé van der Aa,C.P.E. Robidé van der Aa,Jan Pieter Heije
Hieronymus van Alphen,Hieronymus van Alphen,Hendrik Riemsnijder
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","R.J. de Nerée, P.C. Hooft, C.G. Plemp"
J.F. Willems,J.F. Willems,Florimond van Duyse
Hieronymus van Alphen,Hieronymus van Alphen,Philips van Marnix van Sint Aldegonde
Jan Luyken,Jan Luyken,Hieronymus van Alphen
Johan van Born,Johan van Born,Hieronymus van Alphen
Jacob Rosant,Jacob Rosant,Joannes van Sambeeck
Marijn de Brauwer,Marijn de Brauwer,Jan Thieullier
Aernout van Overbeke,Aernout van Overbeke,Abraham de Koning
